발주청,공사명,공사구분,주요사업지,사업개요,노선명,공사위치,시공사,현장주소,시작일,준공일,도급액(원)
서울지방국토관리청,국도38호선 신궁교차로 병목지점 개선공사,도로,평택,IC 개선,국도 38호선(서산 ~ 동해),,메트로종합건설(주),"경기도 평택시 팽성읍 신궁1길 4, 외",,,
서울지방국토관리청,팔당대교-와부 도로건설공사,도로,"남양주, 하남",건설사업관리,국도 45호선(서산 ~ 가평),,동부건설㈜,경기도 남양주시 와부읍 도곡길 9,2019-10-07,2026-08-30,49864189000 
원주지방국토관리청,국도31호선 양구-원통 도로건설공사,도로,인제군,2차로 시설개량,기타,강원도 인제군 인제읍 합강리 50-2~강원도 인제군 인제읍 가아리 924-4,남도건설(주),강원도 인제군 인제읍 가아리 311-1,2020-05-18,2027-04-11,48311860000 
원주지방국토관리청,국도42호선 정선 임계-동해 신흥 도로건설공사,도로,"정선군,동해시",L=17.4km,기타,강원도 저선군 임계면 임계리~강원도 동해시 신흥동,한신공영(주),"강원특별자치도 정선군 임계면 눈꽃마을길 870-86, 한신공영",2024-04-24,2031-04-22,137372638910 
원주지방국토관리청,국도42호선 횡성 안흥-방림2 도로건설공사,도로,"강원도 횡성군 안흥면, 평창군 방림면",L=12.0KM,국도 42호선(인천 ~ 동해),강원도 평창군 방림면 운교리~강원도 평창군 방림면 방림리,관보토건 주식회사,강원도 평창군 방림면 천제당길,2020-03-02,2027-01-24,45919900000 
원주지방국토관리청,국도42호선 횡성 안흥-방림1 도로건설공사,도로,"강원도 횡성군 안흥면, 평창군 방림면",L=12.0KM,국도 42호선(인천 ~ 동해),강원도 횡성군 안흥면 안흥리~강원도 평창군 방림면 운교리,남광토건(주),강원도 횡성군 안흥면 상안리 928-2,2020-05-14,2027-04-07,77365200000 
원주지방국토관리청,국도56호선 춘천 지촌-사내 도로건설공사,도로,"춘천, 화천",도로건설 L=3.0km,국도 56호선(철원 ~ 양양),강원도 춘천시 사북면 지촌리 92-1~강원도 춘천시 사북면 오탄리 192-9,리뉴어스 주식회사,경기도 안양시 만안구 석수동 859,2020-08-03,2025-07-07,18804685000 
원주지방국토관리청,국도59호선 남면-정선1 도로건설공사,도로,정선군 남면 문곡리~정선읍 신월리,"2차로 개량 L=14.5km, B=10.5m",국도 59호선(광양 ~ 하동),정선군 남면 유평리~정선군 남면 낙동리,동우건설(주),강원도 정선군 남면 남창길 31-4,2017-07-28,2026-12-31,42950259000 
원주지방국토관리청,국도59호선 연곡-현북1 도로건설공사,도로,"강릉시, 양양군",2차로 시설개량(7.0km),국도 59호선(광양 ~ 하동),,(주)대우건설,"강원특별자치도 강릉시 보래미하길79번길 12, 1층 (포남동)",,,
원주지방국토관리청,국도59호선 연곡-현북2 도로건설공사,도로,"강릉시, 양양군",2차로 도로개선(L=7.2km),국도 59호선(광양 ~ 하동),,두산건설(주),"경상북도 문경시 문경읍 여우목로 69-8, 두산건설",,,
원주지방국토관리청,국도5호선 신림-판부1 도로건설공사,도로,원주,12.1km,국도 5호선(마산 ~ 중강진(김화)),강원도 원주시 신림면 신림리 694-1~강원도 원주시 판부면 금대리 530-1,비오케이건설 주식회사,"강원도 원주시 신림면 제원로 1343, 비오케이건설",2021-08-13,2026-07-17,26126927992 
원주지방국토관리청,국도5호선 신림-판부2 도로건설공사,도로,원주,12.1km,국도 5호선(마산 ~ 중강진(김화)),강원도 원주시 판부면 금대리 일원~강원도 원주시 관설동 일원,덕은종합건설(주),강원도 원주시 판부면 금대리 896-1,2021-06-23,2026-05-27,23189540000 
원주지방국토관리청,국도5호선 춘천-화천1 도로건설공사,도로,춘천-화천1,도로건설공사,국도 5호선(마산 ~ 중강진(김화)),강원도 춘천시 서면 오월리~강원도 춘천시 사북면 원평리,신원종합개발(주),강원도 춘천시 사북면 화악지암길 499,2018-09-03,2025-07-27,72419000000 
원주지방국토관리청,국도5호선 춘천-화천2 도로건설공사,도로,춘천-화천2,도로건설공사,,강원도 춘천시 사북면 원평리 409~강원도 화천군 하남면 서오지리 17-1,범양건영 (주),강원도 춘천시 사북면 신포리 639번지,2018-09-03,2025-07-27,47328544000 
원주지방국토관리청,국도5호선 춘천-화천3 도로건설공사,도로,춘천-화천,도로건설공사,,강원 화천군 하남면서오지리~강원 화천군 화천읍 하리,동원건설산업 주식회사,강원도 화천군 호수길 206-109,2018-09-03,2025-07-27,99893296000 
원주지방국토관리청,국도87호선 철원 오지-동송 도로건설공사,도로,"철원 동송읍 오리지, 이평리",도로건설공사 2.7km,국도 87호선,강원도 철원군 북원로 910-7~강원도 철원군 송학동1길 13,(주) 하나건설,강원도 철원군 동송읍 이평리 606-2번지,2020-09-21,2025-08-25,
원주지방국토관리청,도계-신기 도로건설공사,도로,강원도 삼척시 도계읍 늑구리～ 삼척시 신기면 안의리,"연장 7.9㎞, 폭원 20.0m(4차로 신설)",국도 38호선(서산 ~ 동해),삼척시 도계읍 늑구리~삼척시 신기면 안의리,포스코이앤씨,강원도 삼척시 남양동 14-3,2007-02-12,2025-09-24,187140000000 
원주지방국토관리청,신기-미로 도로건설공사,도로,강원도 삼척시 신기면 안의리～ 삼척시 미로면 하정리,"연장 6.5㎞, 폭원 20.0m(4차로 신설)",국도 38호선(서산 ~ 동해),강원도 삼척시 신기면 안의리~강원도 삼척시 미로면 하정리,삼성물산 (주),강원도 삼척시 마달길 363 (월계수 B/D 2층),2007-02-21,2024-12-31,164635000000 
대전지방국토관리청,계룡시 국도대체우회도로(연산-두마)건설공사,도로,"논산시, 계룡시, 대전광역시(방동)","L=8.54km, B=20.0m(4차로)",국도 4호선(군산 ~ 경주),충청남도 논산시 연산면 송정리 148-1~대전광역시 유성구 방동 864-9,코오롱글로벌(주),충청남도 계룡시 두마면 왕대로 96,2018-10-17,2025-09-09,90678300000 
